seed,file_name,prompt_version,test,subject_clip_raw,subject_clip_norm,style_clip_raw,style_clip_norm,sharpness_raw,sharpness_norm,single_image_score
6263231862458477303,router_best_output_selector_00050_.png,v1,Baseline,0.3394,0.6667,0.2068,0.0,339.0694,1.0,0.3667
6263231862458477303,router_best_output_selector_00051_.png,v2,Subject,0.3603,1.0,0.2244,0.3333,216.9992,0.8333,0.55
6263231862458477303,router_best_output_selector_00052_.png,v3,Style,0.3072,0.0,0.2469,0.5,101.3898,0.6667,0.1
6263231862458477303,router_best_output_selector_00053_.png,v4,Style consistency,0.3455,0.8333,0.2163,0.1667,63.1888,0.1667,0.3833
6263231862458477303,router_best_output_selector_00054_.png,v5,Composition,0.3237,0.3333,0.3019,1.0,47.8146,0.0,0.3333
6263231862458477303,router_best_output_selector_00055_.png,v6,Density,0.3351,0.5,0.2515,0.6667,68.38,0.3333,0.3667
6263231862458477303,router_best_output_selector_00056_.png,v7,Simple,0.3193,0.1667,0.267,0.8333,85.2309,0.5,0.2333
8038420175316636725,router_best_output_selector_00057_.png,v1,Baseline,0.3265,0.6667,0.2498,0.5,149.5067,0.8333,0.45
8038420175316636725,router_best_output_selector_00058_.png,v2,Subject,0.3181,0.1667,0.2305,0.1667,349.5698,1.0,0.1
8038420175316636725,router_best_output_selector_00059_.png,v3,Style,0.3198,0.3333,0.2592,0.6667,78.7196,0.5,0.3167
8038420175316636725,router_best_output_selector_00060_.png,v4,Style consistency,0.3269,0.8333,0.2287,0.0,59.4095,0.3333,0.3667
8038420175316636725,router_best_output_selector_00061_.png,v5,Composition,0.3225,0.5,0.3211,1.0,29.0032,0.0,0.4
8038420175316636725,router_best_output_selector_00062_.png,v6,Density,0.3379,1.0,0.2428,0.3333,57.5682,0.1667,0.4833
8038420175316636725,router_best_output_selector_00063_.png,v7,Simple,0.2932,0.0,0.2938,0.8333,109.2679,0.6667,0.1667
4594273174593857050,router_best_output_selector_00064_.png,v1,Baseline,0.3509,0.8333,0.2134,0.3333,386.927,0.8333,0.4833
4594273174593857050,router_best_output_selector_00065_.png,v2,Subject,0.315,0.5,0.1843,0.0,461.9813,1.0,0.3
4594273174593857050,router_best_output_selector_00066_.png,v3,Style,0.3075,0.3333,0.2731,0.6667,80.6828,0.5,0.3167
4594273174593857050,router_best_output_selector_00067_.png,v4,Style consistency,0.3347,0.6667,0.2131,0.1667,49.9085,0.0,0.3
4594273174593857050,router_best_output_selector_00068_.png,v5,Composition,0.3753,1.0,0.3322,1.0,54.7921,0.1667,0.6167
4594273174593857050,router_best_output_selector_00069_.png,v6,Density,0.2959,0.0,0.226,0.5,74.297,0.3333,0.1
4594273174593857050,router_best_output_selector_00070_.png,v7,Simple,0.2962,0.1667,0.2757,0.8333,97.8435,0.6667,0.2333
