Metric,V1_Mean,V2_Mean,Delta_Mean,Improved_Pct
CLIP Subject,0.33446,0.39472000000000007,0.06026,100.0
CLIP Style,0.26200999999999997,0.24464999999999998,-0.01736,10.0
Sharpness,104.01599999999999,84.593,-19.423,20.0
LPIPS,,,0.56458,
SSIM,,,0.33294999999999997,
Color Dist,,,0.80382,
