Metric,V1_Mean,V2_Mean,Delta_Mean,Improved_Pct
CLIP Subject,0.37622999999999995,0.39472000000000007,0.01849,80.0
CLIP Style,0.24409999999999998,0.24464999999999998,0.0005500000000000033,50.0
Sharpness,1192.007,919.757,-272.24999999999994,0.0
LPIPS,,,0.56458,
SSIM,,,0.33294999999999997,
Color Dist,,,0.76131,
