Metric,V1_Mean,V2_Mean,Delta_Mean,Improved_Pct
CLIP Subject,0.35069,0.3216,-0.029089999999999998,10.0
CLIP Style,0.32358000000000003,0.3796799999999999,0.0561,100.0
Sharpness,696.365,663.983,-32.38200000000003,50.0
LPIPS,,,0.45658000000000004,
SSIM,,,0.35885,
Color Dist,,,0.73176,
