seed,file_name,prompt_version,test,subject_clip_raw,subject_clip_norm,style_clip_raw,style_clip_norm,sharpness_raw,sharpness_norm,single_image_score
8230757283234980150,router_best_output_selector_00032_.png,v1,Baseline,0.3213,0.3333,0.222,0.1667,518.0831,0.8333,0.25
8230757283234980150,router_best_output_selector_00033_.png,v2,Subject,0.3322,0.6667,0.2046,0.0,524.8688,1.0,0.3667
8230757283234980150,router_best_output_selector_00034_.png,v3,Style,0.29,0.1667,0.2754,0.8333,91.0656,0.5,0.2333
8230757283234980150,router_best_output_selector_00035_.png,v4,Style consistency,0.3277,0.5,0.2232,0.3333,57.8321,0.1667,0.2833
8230757283234980150,router_best_output_selector_00036_.png,v5,Composition,0.3402,1.0,0.3011,1.0,48.4704,0.0,0.6
8230757283234980150,router_best_output_selector_00037_.png,v6,Density,0.3381,0.8333,0.2514,0.6667,68.4264,0.3333,0.5
8230757283234980150,router_best_output_selector_00038_.png,v7,Simple,0.2852,0.0,0.251,0.5,111.2227,0.6667,0.1
